Autor,Grupo,Título,Ano,Preço (R$),Na janela 1850-1930?,Link,Imagem,Status,Verificado em,Visto em,Vendedor
Álvares de Azevedo,Patrono,"Obras de Manoel Antonio Alvares de Azevedo, Tomo Segundo",1900,41.47,SIM,https://www.estantevirtual.com.br/busca?nsCat=Natural&q=%C3%81lvares%20de%20Azevedo%20Obras%20de%20Manoel%20Antonio%20Alvares%20de%20Azevedo%2C%20Tomo%20Segundo&searchField=titulo-autor&ano-de-publicacao=1900,,ativo,2026-09-06 12:21,2026-07-23 02:14,
Basílio da Gama,Patrono,O Uruguay,1898,100,SIM,https://www.estantevirtual.com.br/busca?nsCat=Natural&q=Bas%C3%ADlio%20da%20Gama%20O%20Uruguay&searchField=titulo-autor&ano-de-publicacao=1898,,ativo,2026-09-06 12:21,2026-07-23 02:14,
Bernardo Guimarães,Patrono,Novas Poesias - 1a Edição,1876,450,SIM,https://www.estantevirtual.com.br/busca?nsCat=Natural&q=Bernardo%20Guimar%C3%A3es%20Novas%20Poesias%20-%201a%20Edi%C3%A7%C3%A3o&searchField=titulo-autor&ano-de-publicacao=1876,,ativo,2026-09-06 12:21,2026-07-23 02:14,
Bernardo Guimarães,Patrono,Folhas de Outono - 1ª Edição,1883,750,SIM,https://www.estantevirtual.com.br/busca?nsCat=Natural&q=Bernardo%20Guimar%C3%A3es%20Folhas%20de%20Outono%20-%201%C2%AA%20Edi%C3%A7%C3%A3o&searchField=titulo-autor&ano-de-publicacao=1883,,ativo,2026-09-06 12:21,2026-07-23 02:14,
Bernardo Guimarães,Patrono,Amor de Bandido - o Indio Affonso,1929,80,SIM,https://www.estantevirtual.com.br/busca?nsCat=Natural&q=Bernardo%20Guimar%C3%A3es%20Amor%20de%20Bandido%20-%20o%20Indio%20Affonso&searchField=titulo-autor&ano-de-publicacao=1929,,ativo,2026-09-06 12:21,2026-07-23 02:14,
Bernardo Guimarães,Patrono,História e Tradições da Província de Minas Gerais,1901,250,SIM,https://www.estantevirtual.com.br/busca?nsCat=Natural&q=Bernardo%20Guimar%C3%A3es%20Hist%C3%B3ria%20e%20Tradi%C3%A7%C3%B5es%20da%20Prov%C3%ADncia%20de%20Minas%20Gerais&searchField=titulo-autor&ano-de-publicacao=1901,,ativo,2026-09-06 12:21,2026-07-23 02:14,
Bernardo Guimarães,Patrono,Novas Poesias,1900,120,SIM,https://www.estantevirtual.com.br/busca?nsCat=Natural&q=Bernardo%20Guimar%C3%A3es%20Novas%20Poesias&searchField=titulo-autor&ano-de-publicacao=1900,,ativo,2026-09-06 12:21,2026-07-23 02:14,
Bernardo Guimarães,Patrono,Novas Poesias - 1a Edição,1876,500,SIM,https://www.estantevirtual.com.br/busca?nsCat=Natural&q=Bernardo%20Guimar%C3%A3es%20Novas%20Poesias%20-%201a%20Edi%C3%A7%C3%A3o&searchField=titulo-autor&ano-de-publicacao=1876,,ativo,2026-09-06 12:21,2026-07-23 02:14,
Bernardo Guimarães,Patrono,Maurício Ou os Paulistas Em São João Del-rei - Tomo I e II - Ed. 1877,1877,1199,SIM,https://www.estantevirtual.com.br/busca?nsCat=Natural&q=Bernardo%20Guimar%C3%A3es%20Maur%C3%ADcio%20Ou%20os%20Paulistas%20Em%20S%C3%A3o%20Jo%C3%A3o%20Del-rei%20-%20Tomo%20I%20e%20II%20-%20Ed.%201877&searchField=titulo-autor&ano-de-publicacao=1877,,ativo,2026-09-06 12:21,2026-07-23 02:14,
Bernardo Guimarães,Patrono,Escrava Isaura,1924,180,SIM,https://www.estantevirtual.com.br/busca?nsCat=Natural&q=Bernardo%20Guimar%C3%A3es%20Escrava%20Isaura&searchField=titulo-autor&ano-de-publicacao=1924,,ativo,2026-09-06 12:21,2026-07-23 02:14,
