Autor,Grupo,Título,Ano,Preço (R$),Na janela 1850-1930?,Link,Imagem,Status,Verificado em,Visto em,Vendedor
Casimiro de Abreu,Patrono,As primaveras,1895,33.60,SIM,https://www.estantevirtual.com.br/livro/as-primaveras-012-5715-000-BK,https://static.estantevirtual.com.br/book/00/012-5715-000/012-5715-000_detail1.jpg?ts=1712761319867,ativo,2026-09-04 14:46,2026-09-05 00:19,
Casimiro de Abreu,Patrono,As primaveras,1895,33.60,SIM,https://www.estantevirtual.com.br/livro/as-primaveras-012-5715-000-BK,https://static.estantevirtual.com.br/book/00/012-5715-000/012-5715-000_detail1.jpg?ts=1712761319867,ativo,2026-09-04 14:46,2026-09-05 00:19,
Casimiro de Abreu,Patrono,As primaveras,1895,33.60,SIM,https://www.estantevirtual.com.br/livro/as-primaveras-012-5715-000-BK,https://static.estantevirtual.com.br/book/00/012-5715-000/012-5715-000_detail1.jpg?ts=1712761319867,ativo,2026-09-04 14:46,2026-09-05 00:19,
Casimiro de Abreu,Patrono,As primaveras,1895,33.60,SIM,https://www.estantevirtual.com.br/livro/as-primaveras-012-5715-000-BK,https://static.estantevirtual.com.br/book/00/012-5715-000/012-5715-000_detail1.jpg?ts=1712761319867,ativo,2026-09-04 14:46,2026-09-05 00:19,
Casimiro de Abreu,Patrono,As primaveras,1895,33.60,SIM,https://www.estantevirtual.com.br/livro/as-primaveras-012-5715-000-BK,https://static.estantevirtual.com.br/book/00/012-5715-000/012-5715-000_detail1.jpg?ts=1712761319867,ativo,2026-09-04 14:46,2026-09-05 00:19,
Júlio Ribeiro,Patrono,Fazer acontecer,1911,30.00,SIM,https://www.estantevirtual.com.br/livro/fazer-acontecer-04H-4684-000-BK,https://static.estantevirtual.com.br/book/00/04H-4684-000/04H-4684-000_detail1.jpg?ts=1712763296937,ativo,2026-09-04 14:46,2026-09-05 00:45,
Júlio Ribeiro,Patrono,Fazer acontecer,1911,30.00,SIM,https://www.estantevirtual.com.br/livro/fazer-acontecer-04H-4684-000-BK,https://static.estantevirtual.com.br/book/00/04H-4684-000/04H-4684-000_detail1.jpg?ts=1712763296937,ativo,2026-09-04 14:46,2026-09-05 00:45,
Júlio Ribeiro,Patrono,Fazer acontecer,1911,30.00,SIM,https://www.estantevirtual.com.br/livro/fazer-acontecer-04H-4684-000-BK,https://static.estantevirtual.com.br/book/00/04H-4684-000/04H-4684-000_detail1.jpg?ts=1712763296937,ativo,2026-09-04 14:46,2026-09-05 00:45,
Júlio Ribeiro,Patrono,Fazer acontecer,1911,30.00,SIM,https://www.estantevirtual.com.br/livro/fazer-acontecer-04H-4684-000-BK,https://static.estantevirtual.com.br/book/00/04H-4684-000/04H-4684-000_detail1.jpg?ts=1712763296937,ativo,2026-09-04 14:46,2026-09-05 00:45,
Júlio Ribeiro,Patrono,Fazer acontecer,1911,30.00,SIM,https://www.estantevirtual.com.br/livro/fazer-acontecer-04H-4684-000-BK,https://static.estantevirtual.com.br/book/00/04H-4684-000/04H-4684-000_detail1.jpg?ts=1712763296937,ativo,2026-09-04 14:46,2026-09-05 00:45,
Olavo Bilac,Fundador,Vossa insolência,1927,36.00,SIM,https://www.estantevirtual.com.br/livro/vossa-insolencia-08J-9455-000-BK,https://static.estantevirtual.com.br/book/00/08J-9455-000/08J-9455-000_detail1.jpg?ts=1712767595021,ativo,2026-09-04 14:47,2026-09-05 01:26,
Olavo Bilac,Fundador,Vossa insolência,1927,36.00,SIM,https://www.estantevirtual.com.br/livro/vossa-insolencia-08J-9455-000-BK,https://static.estantevirtual.com.br/book/00/08J-9455-000/08J-9455-000_detail1.jpg?ts=1712767595021,ativo,2026-09-04 14:47,2026-09-05 01:26,
Olavo Bilac,Fundador,Vossa insolência,1927,36.00,SIM,https://www.estantevirtual.com.br/livro/vossa-insolencia-08J-9455-000-BK,https://static.estantevirtual.com.br/book/00/08J-9455-000/08J-9455-000_detail1.jpg?ts=1712767595021,ativo,2026-09-04 14:47,2026-09-05 01:26,
Olavo Bilac,Fundador,Vossa insolência,1927,36.00,SIM,https://www.estantevirtual.com.br/livro/vossa-insolencia-08J-9455-000-BK,https://static.estantevirtual.com.br/book/00/08J-9455-000/08J-9455-000_detail1.jpg?ts=1712767595021,ativo,2026-09-04 14:47,2026-09-05 01:26,
Olavo Bilac,Fundador,Vossa insolência,1927,36.00,SIM,https://www.estantevirtual.com.br/livro/vossa-insolencia-08J-9455-000-BK,https://static.estantevirtual.com.br/book/00/08J-9455-000/08J-9455-000_detail1.jpg?ts=1712767595021,ativo,2026-09-04 14:47,2026-09-05 01:26,
